120,甜蜜蜜/ Comrades: Almost a Love Story,陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.8,376651,https://movie.douban.com/subject/1305164/
121,大鱼/ Big Fish/ 大鱼奇缘(港)  /  大智若鱼(台),蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,8.8,425245,https://movie.douban.com/subject/1291545/
122,阳光姐妹淘/ 써니/ 阳光姊妹淘(港)  /  桑尼,姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,460803,https://movie.douban.com/subject/4917726/
123,无人知晓/ 誰も知らない/ 谁知赤子心(港)  /  无人知晓的夏日清晨(台),是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,197488,https://movie.douban.com/subject/1292337/
124,萤火之森/ 蛍火の杜へ/ 萤火之社  /  Hotarubi no mori e,大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.9,357848,https://movie.douban.com/subject/5989818/
125,射雕英雄传之东成西就/ 射鵰英雄傳之東成西就/ 东成西就  /  大英雄 (日本),刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,473430,https://movie.douban.com/subject/1316510/
126,驯龙高手/ How to Train Your Dragon/ 驯龙记(港),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.7,551532,https://movie.douban.com/subject/2353023/
127,超能陆战队/ Big Hero 6/ 大英雄联盟(港)  /  大英雄天团(台),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,713733,https://movie.douban.com/subject/11026735/
128,借东西的小人阿莉埃蒂/ 借りぐらしのアリエッティ/ 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.8,390880,https://movie.douban.com/subject/4202302/
129,幸福终点站/ The Terminal/ 机场客运站(港)  /  航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,391850,https://movie.douban.com/subject/1292274/
130,菊次郎的夏天/ 菊次郎の夏/ 菊次郎之夏  /  Kikujirô no natsu,北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.8,370826,https://movie.douban.com/subject/1293359/
131,爱在日落黄昏时/ Before Sunset/ 日落巴黎(港)  /  爱在日落巴黎时(台),理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.8,364422,https://movie.douban.com/subject/1291990/
